PFAS,QSPR-model,"GC-model, anion acid","GC-model, neutral acid","Experimental data, Guo","Experimental data, B&G"
TFA,1.76E-06,9.77E-08,8.71E-06,,
PFBA,1.64E-05,1.55E-06,1.38E-04,,3.00E-05
HFPO-DA,1.72E-04,9.55E-06,8.51E-04,,
PFPeA,4.29E-05,6.17E-06,5.50E-04,5.49E-05,
PFBS,6.81E-05,,7.24E-06,5.60E-05,1.70E-04
PFHxA,1.14E-04,2.45E-05,2.19E-03,1.46E-04,2.00E-04
PFHpA,3.05E-04,9.77E-05,8.71E-03,6.92E-04,
PFHxS,5.39E-04,,1.15E-04,1.05E-03,
PFOA,9.44E-04,3.89E-04,3.47E-02,3.78E-03,3.00E-03
PFNA,1.35E-03,1.55E-03,1.38E-01,4.34E-02,1.40E-02
PFOS,8.16E-01,,1.82E-03,4.91E-02,5.00E-02
PFDA,1.55E-02,6.17E-03,5.50E-01,7.06E-02,7.00E-02
